Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
29,Jayson Tatum\tatumja01,SF,22,BOS,64,2290,21.3,.576,.368,.258,2.4,20.7,11.5,20.3,1.6,1.3,10.4,30.8,,4.1,2.5,6.5,.137,,4.1,-0.4,3.7,3.3
30,CJ McCollum\mccolcj01,SG,29,POR,47,1600,20.8,.577,.475,.150,2.0,10.6,6.2,23.0,1.3,1.2,6.5,27.1,,4.1,0.6,4.7,.141,,4.9,-1.5,3.3,2.1
31,De'Aaron Fox\foxde01,PG,23,SAC,58,2036,20.7,.565,.288,.376,1.8,9.4,5.5,32.7,2.1,1.1,11.9,31.0,,3.4,0.8,4.2,.098,,2.9,-1.5,1.4,1.7
32,John Collins\collijo01,PF,23,ATL,63,1848,20.6,.645,.270,.265,7.1,20.3,13.8,6.9,0.9,3.0,8.9,22.2,,4.8,1.9,6.7,.174,,2.5,-0.4,2.1,1.9
33,Michael Porter Jr.\portemi01,SF,22,DEN,61,1912,20.6,.663,.468,.164,5.4,20.9,13.2,5.6,1.0,2.8,8.1,21.7,,4.8,2.1,6.9,.173,,3.9,-1.0,3.0,2.4
34,Domantas Sabonis\sabondo01,PF,24,IND,62,2231,20.6,.601,.179,.363,7.3,28.6,18.0,27.5,1.6,1.2,16.9,24.1,,4.0,3.0,6.9,.149,,2.4,1.5,3.9,3.3
35,Paul George\georgpa01,SF,30,LAC,54,1821,20.5,.598,.437,.239,2.9,18.9,11.1,24.6,1.7,1.2,14.5,30.0,,3.0,2.3,5.3,.139,,4.0,-0.4,3.7,2.6
36,Deandre Ayton\aytonde01,C,22,PHO,69,2115,20.3,.653,.029,.252,12.4,26.3,19.5,6.8,1.0,3.4,11.9,18.2,,5.3,3.1,8.4,.191,,0.9,0.0,0.9,1.6
37,Thaddeus Young\youngth01,PF,32,CHI,68,1652,20.3,.578,.068,.171,11.4,16.9,14.2,27.1,2.2,2.1,16.1,22.3,,2.8,2.2,5.1,.147,,2.0,1.2,3.2,2.2
38,Richaun Holmes\holmeri01,C,27,SAC,61,1782,20.2,.669,.019,.296,8.8,22.7,15.7,8.3,1.1,4.6,10.3,17.5,,4.7,1.4,6.1,.165,,0.6,-0.3,0.3,1.0
