Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
123,Donte DiVincenzo\divindo01,SG,24,MIL,66,1814,13.0,.542,.574,.118,4.9,16.7,11.0,14.2,1.9,0.7,12.5,16.7,,1.5,2.1,3.6,.095,,-0.3,0.2,-0.1,0.9
124,Goran Dragić\dragigo01,PG,34,MIA,50,1337,13.0,.552,.440,.220,2.2,12.1,7.2,25.9,1.2,0.6,16.2,24.5,,0.2,1.2,1.3,.048,,-1.2,-1.8,-3.0,-0.3
125,Jeff Green\greenje02,C,34,BRK,68,1835,13.0,.624,.472,.304,2.2,13.1,7.9,7.8,0.9,1.3,8.2,15.6,,2.9,1.2,4.1,.107,,0.0,-1.0,-1.0,0.5
126,Raul Neto\netora01,PG,28,WAS,64,1403,13.0,.575,.367,.190,2.1,9.6,5.9,14.0,2.4,0.4,9.9,15.8,,1.5,1.3,2.8,.097,,-1.5,0.6,-0.8,0.4
127,Nicolas Batum\batumni01,SF,32,LAC,67,1835,12.9,.617,.660,.141,3.2,15.9,9.7,10.5,1.9,1.8,10.8,11.8,,2.7,2.3,5.0,.132,,0.5,1.0,1.4,1.6
128,Seth Curry\curryse01,SG,30,PHI,57,1638,12.9,.607,.507,.139,0.7,8.3,4.6,13.6,1.3,0.4,10.0,17.1,,2.3,1.7,4.0,.118,,-0.1,-0.8,-0.9,0.5
129,Bryn Forbes\forbebr01,SG,27,MIL,70,1354,12.8,.631,.645,.115,0.9,7.6,4.3,4.5,0.8,0.1,7.3,18.5,,2.0,0.7,2.7,.096,,0.4,-1.8,-1.4,0.2
130,Buddy Hield\hieldbu01,SG,28,SAC,71,2433,12.8,.567,.727,.105,1.3,14.1,7.6,14.7,1.2,1.0,11.1,20.7,,1.5,0.7,2.2,.044,,0.8,-1.6,-0.8,0.7
131,Kyle Kuzma\kuzmaky01,SF,25,LAL,68,1954,12.7,.546,.502,.128,6.3,17.7,12.0,9.8,0.9,1.9,12.4,20.3,,0.4,2.9,3.3,.080,,-0.3,-0.4,-0.7,0.6
132,Saddiq Bey\beysa01,SF,21,DET,70,1909,12.6,.567,.666,.213,2.5,16.2,9.3,7.6,1.3,0.6,7.4,18.7,,1.6,1.7,3.3,.082,,0.3,-1.1,-0.8,0.6
133,Cory Joseph\josepco01,PG,29,TOT,63,1446,12.5,.556,.310,.207,2.7,9.7,6.1,21.4,2.0,1.1,14.5,16.3,,1.3,0.8,2.1,.069,,-1.9,-0.3,-2.1,-0.1
134,Desmond Bane\banede01,SG,22,MEM,68,1519,12.2,.600,.543,.098,2.1,12.6,7.3,10.6,1.3,0.9,10.2,16.1,,1.6,1.3,2.9,.093,,-0.7,-0.3,-1.0,0.4
135,Josh Hart\hartjo01,SF,25,NOP,47,1349,12.2,.566,.561,.259,4.3,26.1,15.2,10.6,1.4,0.8,11.3,13.5,,1.4,1.3,2.7,.097,,-1.1,0.0,-1.1,0.3
136,Kevin Huerter\huertke01,SG,22,ATL,69,2126,12.2,.541,.528,.088,2.0,9.7,6.0,16.3,1.9,0.7,9.4,17.2,,1.9,1.7,3.6,.080,,-0.7,0.1,-0.6,0.8
137,Dillon Brooks\brookdi01,SF,25,MEM,67,1997,12.1,.515,.361,.189,2.8,7.7,5.2,11.7,1.9,1.2,9.6,26.1,,-0.5,1.8,1.4,.033,,-2.6,-1.3,-3.9,-1.0
138,Danny Green\greenda02,SF,33,PHI,69,1934,12.1,.582,.794,.074,3.2,11.5,7.4,8.3,2.3,2.6,10.7,14.0,,1.6,3.1,4.6,.115,,0.2,1.2,1.5,1.7
139,Gary Trent Jr.\trentga02,SG,22,TOT,58,1802,12.1,.534,.546,.135,1.6,7.7,4.6,6.6,1.5,0.5,4.9,20.9,,1.0,0.7,1.7,.045,,-0.6,-2.1,-2.7,-0.3
140,Dorian Finney-Smith\finnedo01,PF,27,DAL,60,1921,12.0,.609,.648,.088,5.7,13.0,9.3,7.2,1.3,1.2,9.0,12.2,,2.8,1.6,4.4,.110,,0.1,-0.1,-0.1,0.9
141,Josh Jackson\jacksjo02,SG,23,DET,62,1560,12.0,.516,.364,.308,4.0,14.2,9.1,15.1,1.7,2.6,15.0,26.5,,-1.6,1.7,0.1,.004,,-2.4,-0.8,-3.3,-0.5
142,Coby White\whiteco01,PG,20,CHI,69,2156,12.0,.540,.503,.157,1.5,13.0,7.3,21.8,0.9,0.6,13.9,22.5,,0.7,1.7,2.4,.052,,-1.1,-1.4,-2.6,-0.3
143,Derrick Jones Jr.\jonesde02,SF,23,POR,58,1318,11.9,.576,.447,.299,6.1,10.7,8.3,4.8,1.4,3.7,8.5,12.3,,1.6,0.8,2.4,.089,,-1.6,-0.3,-1.9,0.1
144,Josh Richardson\richajo01,SG,27,DAL,59,1790,11.9,.537,.432,.175,3.2,8.8,6.0,12.1,1.7,1.2,10.6,18.4,,1.0,1.4,2.4,.066,,-1.5,-0.6,-2.1,0.0
145,Isaiah Roby\robyis01,PF,22,OKC,61,1425,11.9,.555,.254,.273,6.4,18.6,12.4,11.4,1.7,2.3,19.0,17.7,,-0.3,1.5,1.3,.043,,-3.6,0.2,-3.5,-0.5
146,Will Barton\bartowi01,SF,30,DEN,56,1736,11.8,.538,.423,.199,2.6,12.2,7.4,14.1,1.4,1.3,12.7,19.0,,0.7,1.5,2.2,.061,,-0.8,-1.2,-2.0,0.0
147,Jae Crowder\crowdja01,PF,30,PHO,60,1648,11.8,.574,.772,.152,2.2,16.9,9.7,10.0,1.4,1.5,9.5,15.7,,1.4,1.9,3.3,.097,,0.1,0.7,0.8,1.2
148,Cameron Johnson\johnsca02,PF,24,PHO,60,1437,11.8,.563,.694,.122,2.6,12.9,7.9,8.0,1.3,1.0,7.3,17.0,,1.2,1.4,2.6,.086,,0.0,-0.6,-0.6,0.5
149,Patty Mills\millspa02,PG,32,SAS,68,1685,11.8,.570,.702,.128,1.1,6.3,3.7,13.5,1.2,0.2,9.3,18.4,,1.3,0.8,2.2,.062,,0.1,-1.8,-1.6,0.2
150,Bismack Biyombo\biyombi01,C,28,CHO,66,1349,11.7,.574,.004,.434,10.8,17.1,13.9,8.3,0.6,5.4,19.8,11.5,,0.9,1.4,2.3,.081,,-3.2,-0.1,-3.3,-0.5
151,Elfrid Payton\paytoel01,PG,26,NYK,63,1484,11.7,.478,.158,.172,4.7,11.0,7.9,21.6,1.6,0.6,13.3,23.2,,-0.9,1.9,1.0,.032,,-2.8,-0.6,-3.4,-0.5
152,Facundo Campazzo\campafa01,PG,29,DEN,65,1425,11.6,.558,.686,.289,1.8,8.9,5.3,20.2,2.7,1.0,17.1,13.1,,1.6,1.5,3.1,.105,,-1.7,1.0,-0.8,0.5
153,Eric Bledsoe\bledser01,SG,31,NOP,71,2111,11.5,.533,.486,.267,1.5,11.1,6.3,17.3,1.2,1.1,12.3,18.5,,1.1,1.3,2.3,.053,,-1.1,-1.3,-2.3,-0.2
154,Dāvis Bertāns\bertada01,PF,28,WAS,57,1464,11.4,.620,.895,.241,1.3,10.8,6.1,4.4,1.0,0.7,5.9,15.9,,2.1,1.0,3.1,.101,,0.4,-1.4,-1.0,0.4
155,Rui Hachimura\hachiru01,PF,22,WAS,57,1797,11.4,.549,.211,.248,2.9,15.5,9.2,6.3,1.1,0.3,8.6,18.1,,0.7,1.4,2.1,.056,,-2.0,-1.4,-3.5,-0.7
156,Pat Connaughton\connapa01,SG,28,MIL,69,1575,11.3,.578,.703,.103,4.4,17.3,11.1,6.3,1.5,1.3,7.5,11.6,,1.8,1.7,3.5,.108,,-0.4,0.1,-0.4,0.6
157,Robert Covington\covinro01,PF,30,POR,70,2243,11.2,.553,.699,.122,2.8,19.8,11.1,6.8,2.2,3.4,10.7,11.5,,1.4,2.4,3.7,.080,,-1.5,1.2,-0.3,1.0
158,Reggie Bullock\bullore01,SF,29,NYK,65,1949,11.1,.606,.709,.098,0.9,11.4,6.2,7.4,1.3,0.5,7.1,14.4,,2.3,2.3,4.6,.114,,-0.8,0.6,-0.1,0.9
159,Duncan Robinson\robindu01,SF,26,MIA,72,2262,11.0,.628,.855,.105,0.4,12.1,6.3,8.3,0.9,0.9,9.7,16.6,,1.9,1.8,3.7,.079,,-0.2,-0.9,-1.1,0.5
160,Kentavious Caldwell-Pope\caldwke01,SG,27,LAL,67,1902,10.7,.588,.579,.221,1.6,8.9,5.3,9.2,1.6,1.2,10.6,14.2,,1.6,2.6,4.2,.107,,-1.5,0.6,-0.9,0.6
161,Kent Bazemore\bazemke01,SF,31,GSW,67,1333,10.6,.564,.469,.199,2.1,16.0,9.1,11.1,2.4,2.2,16.1,16.3,,-0.2,2.1,1.8,.065,,-2.9,1.3,-1.7,0.1
162,Maxi Kleber\klebima01,PF,29,DAL,50,1341,10.6,.606,.771,.135,3.9,17.4,10.7,6.6,0.9,2.4,9.3,10.6,,1.6,1.3,2.9,.103,,-0.6,0.0,-0.7,0.5
163,Patrick Williams\willipa01,PF,19,CHI,71,1983,10.5,.562,.261,.237,3.7,14.4,9.1,6.7,1.6,2.0,14.4,14.9,,0.3,2.2,2.5,.060,,-2.7,0.0,-2.7,-0.3
164,Justin Holiday\holidju01,SG,31,IND,72,2183,10.4,.571,.725,.136,1.6,11.1,6.4,7.0,1.6,1.5,7.5,14.0,,1.4,1.8,3.1,.069,,-0.7,-0.4,-1.1,0.5
165,Svi Mykhailiuk\mykhasv01,SF-SG,23,TOT,66,1324,10.4,.529,.621,.099,1.9,11.4,6.6,12.9,1.9,0.8,14.3,20.0,,-0.8,1.1,0.3,.010,,-1.9,-0.9,-2.8,-0.3
166,Cedi Osman\osmande01,SF,25,CLE,59,1510,10.3,.488,.553,.162,2.8,12.4,7.5,17.7,1.7,0.5,11.3,20.4,,-0.5,1.0,0.5,.014,,-1.9,-0.9,-2.8,-0.3
167,Landry Shamet\shamela01,SG,23,BRK,61,1403,10.3,.578,.730,.171,0.9,7.6,4.4,9.3,1.1,0.6,8.9,16.7,,1.2,0.6,1.8,.063,,-1.1,-1.5,-2.5,-0.2
168,Luguentz Dort\dortlu01,SG,21,OKC,52,1543,10.1,.513,.515,.257,2.5,10.3,6.4,8.8,1.4,1.1,10.0,21.7,,-0.6,1.0,0.3,.011,,-2.7,-1.0,-3.7,-0.7
169,Dwayne Bacon\bacondw01,SG,25,ORL,72,1853,9.9,.490,.285,.242,1.7,11.2,6.3,7.9,1.2,0.2,5.4,19.8,,-0.3,0.9,0.5,.013,,-3.5,-1.6,-5.1,-1.4
170,Royce O'Neale\onealro01,SF,27,UTA,71,2241,9.9,.599,.706,.117,4.4,18.0,11.5,10.4,1.2,1.2,16.7,9.6,,2.3,3.3,5.6,.121,,-1.3,1.7,0.4,1.4
171,Lonnie Walker\walkelo01,SG,22,SAS,60,1522,9.8,.523,.463,.115,1.0,10.1,5.4,9.6,0.9,0.8,9.2,20.1,,-0.5,0.9,0.4,.012,,-2.2,-1.7,-3.8,-0.7
172,Darius Bazley\bazleda01,PF,20,OKC,55,1714,9.7,.491,.414,.258,3.1,21.2,12.0,8.9,0.8,1.3,13.7,22.1,,-2.3,1.4,-0.9,-0.026,,-3.1,-1.4,-4.4,-1.0
173,Andre Iguodala\iguodan01,SF,37,MIA,63,1339,9.2,.519,.734,.153,3.3,15.4,9.4,14.3,2.1,2.7,20.2,11.2,,-0.1,1.8,1.7,.062,,-2.5,1.8,-0.7,0.4
174,Jaden McDaniels\mcdanja02,PF,20,MIN,63,1511,8.9,.552,.540,.123,3.6,13.4,8.3,6.4,1.1,3.4,10.8,12.0,,0.5,0.9,1.4,.046,,-3.4,-0.3,-3.8,-0.7
175,Théo Maledon\maledth01,PG,19,OKC,65,1778,8.2,.489,.510,.220,1.4,11.0,6.2,18.8,1.5,0.5,17.3,19.4,,-1.9,1.1,-0.8,-0.021,,-4.1,-1.1,-5.2,-1.4
176,Garrett Temple\templga01,SG,34,CHI,56,1528,8.2,.525,.525,.131,2.1,9.4,5.8,10.5,1.4,1.7,12.6,13.1,,0.2,1.4,1.6,.050,,-3.3,-0.1,-3.5,-0.6
177,Isaac Okoro\okorois01,SG,20,CLE,67,2173,7.9,.514,.383,.281,3.4,7.3,5.3,8.6,1.4,1.0,12.0,14.3,,-0.1,1.0,0.9,.020,,-4.2,-0.8,-5.0,-1.6
178,Solomon Hill\hillso01,PF,29,ATL,71,1513,6.7,.498,.711,.154,3.1,12.2,7.7,6.4,1.6,0.6,11.7,10.4,,0.1,1.2,1.3,.040,,-3.0,0.2,-2.8,-0.3
179,P.J. Tucker\tuckepj01,PF,35,TOT,52,1356,5.5,.510,.672,.158,3.9,12.3,8.0,5.7,1.4,1.3,17.4,7.2,,0.1,0.9,1.0,.034,,-4.5,0.2,-4.3,-0.8
